44,13
30,36
0,26
100,77
67,82
67,41
74,29
95,43
95,10
81,21
21,42
10,19
28,35
57,28
87,24
82,53
30,32
23,52
69,8
97,42
13,30
99,89
1,78
41,36
48,69
68,33
40,99
94,58
95,54
97,95
80,14
69,28
89,79
60,26
8,46
92,96
10,19
45,13
89,57
71,46
13,15
25,48
17,69
21,26
24,97
57,16
3,39
33,2
6,21
25,44
62,33
96,44
54,27
21,95
27,65
13,7
80,22
77,11
12,73
90,48
92,62
40,43
84,64
60,94
86,84
86,6
32,41
83,69
85,100
12,56
30,93
47,19
20,76
33,89
42,23
32,11
19,39
98,86
20,29
45,93
52,93
80,67
68,77
13,33
59,31
21,27
7,18
99,84
39,85
29,68
39,45
91,37
97,49
56,48
3,3
53,56
64,46
6,6
75,75
64,12
